№      A      B      Выигрыш A (x1,x2,x3)      Проигрыш B (y1,y2,y3)     v_up     v_low   
------------------------------------------------------------------------------------------
1      x1     y1     9, 1, 17                  9, 10, 13                 17.0000  9.0000  
2      x3     y1     18, 2, 34                 26, 14, 13                17.0000  6.5000  
3      x3     y3     31, 13, 34                43, 18, 13                11.3333  4.3333  
4      x3     y3     44, 24, 34                60, 22, 13                11.0000  3.2500  
5      x1     y3     57, 35, 34                69, 32, 26                11.4000  5.2000  
6      x1     y3     70, 46, 34                78, 42, 39                11.6667  6.5000  
7      x1     y3     83, 57, 34                87, 52, 52                11.8571  7.4286  
8      x1     y2     93, 75, 38                96, 62, 65                11.6250  7.7500  
9      x1     y2     103, 93, 42               105, 72, 78               11.4444  8.0000  
10     x1     y2     113, 111, 46              114, 82, 91               11.3000  8.2000  
11     x1     y2     123, 129, 50              123, 92, 104              11.7273  8.3636  
12     x2     y2     133, 147, 54              124, 110, 115             12.2500  9.1667  
13     x2     y2     143, 165, 58              125, 128, 126             12.6923  9.6154  
14     x2     y1     152, 166, 75              126, 146, 137             11.8571  9.0000  
15     x2     y1     161, 167, 92              127, 164, 148             11.1333  8.4667  
16     x2     y1     170, 168, 109             128, 182, 159             10.6250  8.0000  
17     x1     y1     179, 169, 126             137, 192, 172             10.5294  8.0588  
18     x1     y1     188, 170, 143             146, 202, 185             10.4444  8.1111  
19     x1     y1     197, 171, 160             155, 212, 198             10.3684  8.1579  
20     x1     y1     206, 172, 177             164, 222, 211             10.3000  8.2000  
21     x1     y1     215, 173, 194             173, 232, 224             10.2381  8.2381  
22     x1     y1     224, 174, 211             182, 242, 237             10.1818  8.2727  
23     x1     y1     233, 175, 228             191, 252, 250             10.1304  8.3043  
24     x1     y1     242, 176, 245             200, 262, 263             10.2083  8.3333  
25     x3     y1     251, 177, 262             217, 266, 263             10.4800  8.6800  
26     x3     y1     260, 178, 279             234, 270, 263             10.7308  9.0000  
27     x3     y1     269, 179, 296             251, 274, 263             10.9630  9.2963  
28     x3     y1     278, 180, 313             268, 278, 263             11.1786  9.3929  
29     x3     y3     291, 191, 313             285, 282, 263             10.7931  9.0690  
30     x3     y3     304, 202, 313             302, 286, 263             10.4333  8.7667  
31     x3     y3     317, 213, 313             319, 290, 263             10.2258  8.4839  
32     x1     y3     330, 224, 313             328, 300, 276             10.3125  8.6250  
33     x1     y3     343, 235, 313             337, 310, 289             10.3939  8.7576  
34     x1     y3     356, 246, 313             346, 320, 302             10.4706  8.8824  
35     x1     y3     369, 257, 313             355, 330, 315             10.5429  9.0000  
36     x1     y3     382, 268, 313             364, 340, 328             10.6111  9.1111  
37     x1     y3     395, 279, 313             373, 350, 341             10.6757  9.2162  
38     x1     y3     408, 290, 313             382, 360, 354             10.7368  9.3158  
39     x1     y3     421, 301, 313             391, 370, 367             10.7949  9.4103  
40     x1     y3     434, 312, 313             400, 380, 380             10.8500  9.5000  
41     x1     y2     444, 330, 317             409, 390, 393             10.8293  9.5122  
42     x1     y2     454, 348, 321             418, 400, 406             10.8095  9.5238  
43     x1     y2     464, 366, 325             427, 410, 419             10.7907  9.5349  
44     x1     y2     474, 384, 329             436, 420, 432             10.7727  9.5455  
45     x1     y2     484, 402, 333             445, 430, 445             10.7556  9.5556  
46     x1     y2     494, 420, 337             454, 440, 458             10.7391  9.5652  
47     x1     y2     504, 438, 341             463, 450, 471             10.7234  9.5745  
48     x1     y2     514, 456, 345             472, 460, 484             10.7083  9.5833  
49     x1     y2     524, 474, 349             481, 470, 497             10.6939  9.5918  
50     x1     y2     534, 492, 353             490, 480, 510             10.6800  9.6000  
51     x1     y2     544, 510, 357             499, 490, 523             10.6667  9.6078  
52     x1     y2     554, 528, 361             508, 500, 536             10.6538  9.6154  
53     x1     y2     564, 546, 365             517, 510, 549             10.6415  9.6226  
54     x1     y2     574, 564, 369             526, 520, 562             10.6296  9.6296  
55     x1     y2     584, 582, 373             535, 530, 575             10.6182  9.6364  
56     x1     y2     594, 600, 377             544, 540, 588             10.7143  9.6429  
57     x2     y2     604, 618, 381             545, 558, 599             10.8421  9.5614  
58     x2     y1     613, 619, 398             546, 576, 610             10.6724  9.4138  
59     x2     y1     622, 620, 415             547, 594, 621             10.5424  9.2712  
60     x1     y1     631, 621, 432             556, 604, 634             10.5167  9.2667  
61     x1     y1     640, 622, 449             565, 614, 647             10.4918  9.2623  
62     x1     y1     649, 623, 466             574, 624, 660             10.4677  9.2581  
63     x1     y1     658, 624, 483             583, 634, 673             10.4444  9.2540  
64     x1     y1     667, 625, 500             592, 644, 686             10.4219  9.2500  
65     x1     y1     676, 626, 517             601, 654, 699             10.4000  9.2462  
66     x1     y1     685, 627, 534             610, 664, 712             10.3788  9.2424  
67     x1     y1     694, 628, 551             619, 674, 725             10.3582  9.2388  
68     x1     y1     703, 629, 568             628, 684, 738             10.3382  9.2353  
69     x1     y1     712, 630, 585             637, 694, 751             10.3188  9.2319  
70     x1     y1     721, 631, 602             646, 704, 764             10.3000  9.2286  
71     x1     y1     730, 632, 619             655, 714, 777             10.2817  9.2254  
72     x1     y1     739, 633, 636             664, 724, 790             10.2639  9.2222  
73     x1     y1     748, 634, 653             673, 734, 803             10.2466  9.2192  
74     x1     y1     757, 635, 670             682, 744, 816             10.2297  9.2162  
75     x1     y1     766, 636, 687             691, 754, 829             10.2133  9.2133  
76     x1     y1     775, 637, 704             700, 764, 842             10.1974  9.2105  
77     x1     y1     784, 638, 721             709, 774, 855             10.1818  9.2078  
78     x1     y1     793, 639, 738             718, 784, 868             10.1667  9.2051  
79     x1     y1     802, 640, 755             727, 794, 881             10.1519  9.2025  
80     x1     y1     811, 641, 772             736, 804, 894             10.1375  9.2000  
81     x1     y1     820, 642, 789             745, 814, 907             10.1235  9.1975  
82     x1     y1     829, 643, 806             754, 824, 920             10.1098  9.1951  
83     x1     y1     838, 644, 823             763, 834, 933             10.0964  9.1928  
84     x1     y1     847, 645, 840             772, 844, 946             10.0833  9.1905  
85     x1     y1     856, 646, 857             781, 854, 959             10.0824  9.1882  
86     x3     y1     865, 647, 874             798, 858, 959             10.1628  9.2791  
87     x3     y1     874, 648, 891             815, 862, 959             10.2414  9.3678  
88     x3     y1     883, 649, 908             832, 866, 959             10.3182  9.4545  
89     x3     y1     892, 650, 925             849, 870, 959             10.3933  9.5393  
90     x3     y1     901, 651, 942             866, 874, 959             10.4667  9.6222  
91     x3     y1     910, 652, 959             883, 878, 959             10.5385  9.6484  
92     x3     y2     920, 670, 963             900, 882, 959             10.4674  9.5870  
93     x3     y2     930, 688, 967             917, 886, 959             10.3978  9.5269  
94     x3     y2     940, 706, 971             934, 890, 959             10.3298  9.4681  
95     x3     y2     950, 724, 975             951, 894, 959             10.2632  9.4105  
96     x3     y2     960, 742, 979             968, 898, 959             10.1979  9.3542  
97     x3     y2     970, 760, 983             985, 902, 959             10.1340  9.2990  
98     x3     y2     980, 778, 987             1002, 906, 959            10.0714  9.2449  
99     x3     y2     990, 796, 991             1019, 910, 959            10.0101  9.1919  
100    x3     y2     1000, 814, 995            1036, 914, 959            10.0000  9.1400  
101    x1     y2     1010, 832, 999            1045, 924, 972            10.0000  9.1485  
102    x1     y2     1020, 850, 1003           1054, 934, 985            10.0000  9.1569  
103    x1     y2     1030, 868, 1007           1063, 944, 998            10.0000  9.1650  
104    x1     y2     1040, 886, 1011           1072, 954, 1011           10.0000  9.1731  
105    x1     y2     1050, 904, 1015           1081, 964, 1024           10.0000  9.1810  
106    x1     y2     1060, 922, 1019           1090, 974, 1037           10.0000  9.1887  
107    x1     y2     1070, 940, 1023           1099, 984, 1050           10.0000  9.1963  
108    x1     y2     1080, 958, 1027           1108, 994, 1063           10.0000  9.2037  
109    x1     y2     1090, 976, 1031           1117, 1004, 1076          10.0000  9.2110  
110    x1     y2     1100, 994, 1035           1126, 1014, 1089          10.0000  9.2182  
111    x1     y2     1110, 1012, 1039          1135, 1024, 1102          10.0000  9.2252  
112    x1     y2     1120, 1030, 1043          1144, 1034, 1115          10.0000  9.2321  
113    x1     y2     1130, 1048, 1047          1153, 1044, 1128          10.0000  9.2389  
114    x1     y2     1140, 1066, 1051          1162, 1054, 1141          10.0000  9.2456  
115    x1     y2     1150, 1084, 1055          1171, 1064, 1154          10.0000  9.2522  
116    x1     y2     1160, 1102, 1059          1180, 1074, 1167          10.0000  9.2586  
117    x1     y2     1170, 1120, 1063          1189, 1084, 1180          10.0000  9.2650  
118    x1     y2     1180, 1138, 1067          1198, 1094, 1193          10.0000  9.2712  
119    x1     y2     1190, 1156, 1071          1207, 1104, 1206          10.0000  9.2773  
120    x1     y2     1200, 1174, 1075          1216, 1114, 1219          10.0000  9.2833  
121    x1     y2     1210, 1192, 1079          1225, 1124, 1232          10.0000  9.2893  
122    x1     y2     1220, 1210, 1083          1234, 1134, 1245          10.0000  9.2951  
123    x1     y2     1230, 1228, 1087          1243, 1144, 1258          10.0000  9.3008  
124    x1     y2     1240, 1246, 1091          1252, 1154, 1271          10.0484  9.3065  
125    x2     y2     1250, 1264, 1095          1253, 1172, 1282          10.1120  9.3760  
126    x2     y2     1260, 1282, 1099          1254, 1190, 1293          10.1746  9.4444  
127    x2     y2     1270, 1300, 1103          1255, 1208, 1304          10.2362  9.5118  
128    x2     y2     1280, 1318, 1107          1256, 1226, 1315          10.2969  9.5781  
129    x2     y2     1290, 1336, 1111          1257, 1244, 1326          10.3566  9.6434  
130    x2     y2     1300, 1354, 1115          1258, 1262, 1337          10.4154  9.6769  
131    x2     y1     1309, 1355, 1132          1259, 1280, 1348          10.3435  9.6107  
132    x2     y1     1318, 1356, 1149          1260, 1298, 1359          10.2727  9.5455  
133    x2     y1     1327, 1357, 1166          1261, 1316, 1370          10.2030  9.4812  
134    x2     y1     1336, 1358, 1183          1262, 1334, 1381          10.1343  9.4179  
135    x2     y1     1345, 1359, 1200          1263, 1352, 1392          10.0667  9.3556  
136    x2     y1     1354, 1360, 1217          1264, 1370, 1403          10.0000  9.2941  
137    x2     y1     1363, 1361, 1234          1265, 1388, 1414          9.9489   9.2336  
138    x1     y1     1372, 1362, 1251          1274, 1398, 1427          9.9420   9.2319  
139    x1     y1     1381, 1363, 1268          1283, 1408, 1440          9.9353   9.2302  
140    x1     y1     1390, 1364, 1285          1292, 1418, 1453          9.9286   9.2286  
141    x1     y1     1399, 1365, 1302          1301, 1428, 1466          9.9220   9.2270  
142    x1     y1     1408, 1366, 1319          1310, 1438, 1479          9.9155   9.2254  
143    x1     y1     1417, 1367, 1336          1319, 1448, 1492          9.9091   9.2238  
144    x1     y1     1426, 1368, 1353          1328, 1458, 1505          9.9028   9.2222  
145    x1     y1     1435, 1369, 1370          1337, 1468, 1518          9.8966   9.2207  
146    x1     y1     1444, 1370, 1387          1346, 1478, 1531          9.8904   9.2192  
147    x1     y1     1453, 1371, 1404          1355, 1488, 1544          9.8844   9.2177  
148    x1     y1     1462, 1372, 1421          1364, 1498, 1557          9.8784   9.2162  
149    x1     y1     1471, 1373, 1438          1373, 1508, 1570          9.8725   9.2148  
150    x1     y1     1480, 1374, 1455          1382, 1518, 1583          9.8667   9.2133  
151    x1     y1     1489, 1375, 1472          1391, 1528, 1596          9.8609   9.2119  
152    x1     y1     1498, 1376, 1489          1400, 1538, 1609          9.8553   9.2105  
153    x1     y1     1507, 1377, 1506          1409, 1548, 1622          9.8497   9.2092  
154    x1     y1     1516, 1378, 1523          1418, 1558, 1635          9.8896   9.2078  
155    x3     y1     1525, 1379, 1540          1435, 1562, 1635          9.9355   9.2581  
156    x3     y1     1534, 1380, 1557          1452, 1566, 1635          9.9808   9.3077  
157    x3     y1     1543, 1381, 1574          1469, 1570, 1635          10.0255  9.3567  
158    x3     y1     1552, 1382, 1591          1486, 1574, 1635          10.0696  9.4051  
159    x3     y1     1561, 1383, 1608          1503, 1578, 1635          10.1132  9.4528  
160    x3     y1     1570, 1384, 1625          1520, 1582, 1635          10.1562  9.5000  
161    x3     y1     1579, 1385, 1642          1537, 1586, 1635          10.1988  9.5466  
162    x3     y1     1588, 1386, 1659          1554, 1590, 1635          10.2407  9.5926  
163    x3     y1     1597, 1387, 1676          1571, 1594, 1635          10.2822  9.6380  
164    x3     y1     1606, 1388, 1693          1588, 1598, 1635          10.3232  9.6829  
165    x3     y1     1615, 1389, 1710          1605, 1602, 1635          10.3636  9.7091  
166    x3     y2     1625, 1407, 1714          1622, 1606, 1635          10.3253  9.6747  
167    x3     y2     1635, 1425, 1718          1639, 1610, 1635          10.2874  9.6407  
168    x3     y2     1645, 1443, 1722          1656, 1614, 1635          10.2500  9.6071  
169    x3     y2     1655, 1461, 1726          1673, 1618, 1635          10.2130  9.5740  
170    x3     y2     1665, 1479, 1730          1690, 1622, 1635          10.1765  9.5412  
171    x3     y2     1675, 1497, 1734          1707, 1626, 1635          10.1404  9.5088  
172    x3     y2     1685, 1515, 1738          1724, 1630, 1635          10.1047  9.4767  
173    x3     y2     1695, 1533, 1742          1741, 1634, 1635          10.0694  9.4451  
174    x3     y2     1705, 1551, 1746          1758, 1638, 1635          10.0345  9.3966  
175    x3     y3     1718, 1562, 1746          1775, 1642, 1635          9.9771   9.3429  
176    x3     y3     1731, 1573, 1746          1792, 1646, 1635          9.9205   9.2898  
177    x3     y3     1744, 1584, 1746          1809, 1650, 1635          9.8644   9.2373  
178    x3     y3     1757, 1595, 1746          1826, 1654, 1635          9.8708   9.1854  
179    x1     y3     1770, 1606, 1746          1835, 1664, 1648          9.8883   9.2067  
180    x1     y3     1783, 1617, 1746          1844, 1674, 1661          9.9056   9.2278  
181    x1     y3     1796, 1628, 1746          1853, 1684, 1674          9.9227   9.2486  
182    x1     y3     1809, 1639, 1746          1862, 1694, 1687          9.9396   9.2692  
183    x1     y3     1822, 1650, 1746          1871, 1704, 1700          9.9563   9.2896  
184    x1     y3     1835, 1661, 1746          1880, 1714, 1713          9.9728   9.3098  
185    x1     y3     1848, 1672, 1746          1889, 1724, 1726          9.9892   9.3189  
186    x1     y2     1858, 1690, 1750          1898, 1734, 1739          9.9892   9.3226  
187    x1     y2     1868, 1708, 1754          1907, 1744, 1752          9.9893   9.3262  
188    x1     y2     1878, 1726, 1758          1916, 1754, 1765          9.9894   9.3298  
189    x1     y2     1888, 1744, 1762          1925, 1764, 1778          9.9894   9.3333  
190    x1     y2     1898, 1762, 1766          1934, 1774, 1791          9.9895   9.3368  
191    x1     y2     1908, 1780, 1770          1943, 1784, 1804          9.9895   9.3403  
192    x1     y2     1918, 1798, 1774          1952, 1794, 1817          9.9896   9.3438  
193    x1     y2     1928, 1816, 1778          1961, 1804, 1830          9.9896   9.3472  
194    x1     y2     1938, 1834, 1782          1970, 1814, 1843          9.9897   9.3505  
195    x1     y2     1948, 1852, 1786          1979, 1824, 1856          9.9897   9.3538  
196    x1     y2     1958, 1870, 1790          1988, 1834, 1869          9.9898   9.3571  
197    x1     y2     1968, 1888, 1794          1997, 1844, 1882          9.9898   9.3604  
198    x1     y2     1978, 1906, 1798          2006, 1854, 1895          9.9899   9.3636  
199    x1     y2     1988, 1924, 1802          2015, 1864, 1908          9.9899   9.3668  
200    x1     y2     1998, 1942, 1806          2024, 1874, 1921          9.9900   9.3700  
201    x1     y2     2008, 1960, 1810          2033, 1884, 1934          9.9900   9.3731  
202    x1     y2     2018, 1978, 1814          2042, 1894, 1947          9.9901   9.3762  
203    x1     y2     2028, 1996, 1818          2051, 1904, 1960          9.9901   9.3793  
204    x1     y2     2038, 2014, 1822          2060, 1914, 1973          9.9902   9.3824  
